malf_rates
2.63
20.754
8.04
4.845
92.166
19.48714286
2.124
5.457931034
8.69
15.25
7.282857143
1.071428571
2.526
7.03
4.27
2.837142857
2.288571429
1.512
3.444
16.04590909
5.108571429
11.292
1.698
17.344
7.8
7.75
36.058125
14.63333333
13.66909091
1.8975
4.062857143
52.38
23.19
61.98
3.694285714
2.515714286
4.488
51.85263158
74.46
17.0925
1.14
21.27348837
7.704545455
38.9925
24.54857143
24.33272727
44.3025
4.285714286
18.198
45.04666667
46.27285714
28.17931034
26.0937931
66.18375
81.24
42.22
21.1875
11.94439024
6.394285714
21.03
15.82
12.96
20.938125
34.88297872
3.255714286
5.721333333
25.96928571
32.265
31.71913043
12.46528302
6.82
7.02
18.26
14.88
3.234
19.4688
7.36
32.64
136.11
55.24846154
15.10125
10.92
12.78
2.4
23.63
11.45
9.348
9.0
11.91
12.795
2.196923077
33.45428571
35.96333333
24.576
14.058
94.17333333
4.164
6.78
13.08
9.6525
27.9
1.84
11.484375
3.52
3.108
2.4216
3.726545455
8.74
10.90736842
1.177142857
115.3309091
3.21
6.24
21.72
2.88
8.504444444
11.34
18.04
15.66
12.258
8.04
1.0
45.73
23.47666667
1.89
18.73636364
7.02
1.284
15.61
1.728
1.1
4.575
4.708
3.96
55.80190476
1.9965
1.945384615
3.652682927
3.556
3.406153846
3.756
7.705714286
5.355
7.98
21.255
22.74
2.889230769
31.93636364
5.49
2.34
15.052
1.12
1.395
31.671
8.655
1.95
2.925
6.049411765
3.07
3.31
2.664
5.04
5.5
6.933
4.776
1.635
10.731
4.848
4.14
20.541
3.79
3.228571429
28.287
9.483
13.959
6.183
10.068
5.357142857
1.38
2.635714286
3.384
5.484
1.92
5.268
6.3825
3.705
3.0
